test_hub,algo,round,train_hubs,clients_per_round,local_epochs,lr,mu,rmse_ret,mae_ret,rmse_price_implied,mae_price_implied
LTU,fedavg,6,FIN|LVA-EST|TTF,3,5,0.001,,0.03964587204094661,0.03269320216299845,1.7983707704994778,1.485242681517684
LTU,fedavg,7,FIN|LVA-EST|TTF,3,5,0.001,,0.03860322787036896,0.03170540393054172,1.745434420981668,1.4388306196650564
LTU,fedavg,8,FIN|LVA-EST|TTF,3,5,0.001,,0.03765203974899203,0.030845739755524595,1.6952766088449425,1.3968515100314705
LTU,fedavg,9,FIN|LVA-EST|TTF,3,5,0.001,,0.0371962599850204,0.03010127594386396,1.6750583492018434,1.3634512810285757
LTU,fedavg,10,FIN|LVA-EST|TTF,3,5,0.001,,0.03638586372767721,0.02937698695564779,1.62528665502514,1.3257700775378747
LTU,fedavg,11,FIN|LVA-EST|TTF,3,5,0.001,,0.036854181029226905,0.029402342662345697,1.644014895394099,1.3251592898728524
LTU,fedavg,12,FIN|LVA-EST|TTF,3,5,0.001,,0.03627302125435444,0.028987406180210108,1.627370262913263,1.3099425317151803
LTU,fedavg,13,FIN|LVA-EST|TTF,3,5,0.001,,0.03593821095030195,0.028727016416990502,1.6123254979548398,1.2986292189472708
LTU,fedavg,14,FIN|LVA-EST|TTF,3,5,0.001,,0.03572637589346544,0.02852122662794688,1.5986093757134052,1.2885674767021484
LTU,fedavg,15,FIN|LVA-EST|TTF,3,5,0.001,,0.036421788196165185,0.028893748239327045,1.627544212002697,1.3041085979846023
LTU,fedavg,16,FIN|LVA-EST|TTF,3,5,0.001,,0.035896699715792624,0.028434989497452927,1.6046983590182877,1.283740556017079
LTU,fedavg,17,FIN|LVA-EST|TTF,3,5,0.001,,0.03548773640292955,0.028155565234995045,1.5895099361570133,1.2725690887344294
LTU,fedavg,18,FIN|LVA-EST|TTF,3,5,0.001,,0.03623860674187958,0.028498127933336694,1.6191368184453347,1.286263434066855
LTU,fedavg,19,FIN|LVA-EST|TTF,3,5,0.001,,0.03608740731227902,0.0283977262214617,1.610044220549266,1.2807763011815223
LTU,fedavg,20,FIN|LVA-EST|TTF,3,5,0.001,,0.035622406985221726,0.028138561211656858,1.5914063915512606,1.2705422867793466
LTU,fedavg,21,FIN|LVA-EST|TTF,3,5,0.001,,0.03538231044287354,0.028008695183259612,1.5857858346841263,1.2668408948193344
LTU,fedavg,22,FIN|LVA-EST|TTF,3,5,0.001,,0.03475190531430644,0.02765702097079564,1.5573065368920456,1.251943299166088
LTU,fedavg,23,FIN|LVA-EST|TTF,3,5,0.001,,0.034589288561729346,0.02754399100652743,1.558516711186139,1.2497567635795175
LTU,fedavg,24,FIN|LVA-EST|TTF,3,5,0.001,,0.034003063194500284,0.02722611969285685,1.5341007461898875,1.2365691985600988
LTU,fedavg,25,FIN|LVA-EST|TTF,3,5,0.001,,0.034369672617666026,0.027366770854157573,1.554340189822379,1.2437050935811016
LTU,fedavg,26,FIN|LVA-EST|TTF,3,5,0.001,,0.03468117008511047,0.027683887053893252,1.5614474277449846,1.2557948205851281
LTU,fedavg,27,FIN|LVA-EST|TTF,3,5,0.001,,0.03511388674248479,0.02807582253394528,1.575472370179929,1.2703251746430484
LTU,fedavg,28,FIN|LVA-EST|TTF,3,5,0.001,,0.034070951574917775,0.02725598483134647,1.534651288096133,1.2369618606012442
LTU,fedavg,29,FIN|LVA-EST|TTF,3,5,0.001,,0.034778828164759044,0.02764366599374876,1.5682718993433387,1.254657229802733
LTU,fedavg,30,FIN|LVA-EST|TTF,3,5,0.001,,0.03443684851644926,0.02747769377737282,1.5548006364664642,1.2481859785852767
LTU,fedavg,31,FIN|LVA-EST|TTF,3,5,0.001,,0.03413628836858354,0.027410752109125466,1.5342645414280538,1.243006958221568
LTU,fedavg,32,FIN|LVA-EST|TTF,3,5,0.001,,0.03493978904568376,0.028009906476654578,1.5709301045286768,1.2692498367716534
LTU,fedavg,33,FIN|LVA-EST|TTF,3,5,0.001,,0.035029887942806336,0.028031564543700118,1.5795214507492168,1.2725453298955138
LTU,fedavg,34,FIN|LVA-EST|TTF,3,5,0.001,,0.03465012070662745,0.027798730046297664,1.5656963192682578,1.263677860605307
LTU,fedavg,35,FIN|LVA-EST|TTF,3,5,0.001,,0.0350855217204758,0.02797450054690828,1.5844523356897566,1.2707260248979626
LTU,fedavg,36,FIN|LVA-EST|TTF,3,5,0.001,,0.03429930116786901,0.027551465572694975,1.547242680650156,1.2516960523991758
LTU,fedavg,37,FIN|LVA-EST|TTF,3,5,0.001,,0.03431379202759018,0.027601495964486748,1.5541496206907706,1.2554618986310642
LTU,fedavg,38,FIN|LVA-EST|TTF,3,5,0.001,,0.03385941212390425,0.027301583376137042,1.5328990426287772,1.2424541851045767
LTU,fedavg,39,FIN|LVA-EST|TTF,3,5,0.001,,0.034424546638192145,0.027754211542648184,1.5516425885743352,1.2591827640502624
LTU,fedavg,40,FIN|LVA-EST|TTF,3,5,0.001,,0.034112427059056365,0.027370895870513653,1.5488910649484704,1.246909942903396
LTU,fedavg,41,FIN|LVA-EST|TTF,3,5,0.001,,0.03457681358430507,0.027699534557729655,1.5598318083232088,1.258266508817674
LTU,fedavg,42,FIN|LVA-EST|TTF,3,5,0.001,,0.03459931636521118,0.027915801789966846,1.5593314651714227,1.2662089871332571
LTU,fedavg,43,FIN|LVA-EST|TTF,3,5,0.001,,0.03462651979957085,0.027778062906471515,1.5639781378706457,1.262472022584801
LTU,fedavg,44,FIN|LVA-EST|TTF,3,5,0.001,,0.03519334609203448,0.02809584173017607,1.5945860021705334,1.2785055477331435
LTU,fedavg,45,FIN|LVA-EST|TTF,3,5,0.001,,0.03380595384573264,0.02718263042509628,1.5255259249473516,1.2355824254535406
LTU,fedavg,46,FIN|LVA-EST|TTF,3,5,0.001,,0.03443882463810146,0.027574745746748924,1.5639136440720973,1.2568412603787313
LTU,fedavg,47,FIN|LVA-EST|TTF,3,5,0.001,,0.03404345903907871,0.027381451994407488,1.538360417437927,1.2449719090626161
LTU,fedavg,48,FIN|LVA-EST|TTF,3,5,0.001,,0.033538932021573174,0.027204875096905543,1.518362899084423,1.2382908595666802
LTU,fedavg,49,FIN|LVA-EST|TTF,3,5,0.001,,0.03411982777450436,0.027633077947970815,1.5480833871549982,1.2581173773315457
LTU,fedavg,50,FIN|LVA-EST|TTF,3,5,0.001,,0.034756987599666764,0.02785554785278409,1.568540556452618,1.265562854130721
LTU,fedavg,51,FIN|LVA-EST|TTF,3,5,0.001,,0.03455389641572811,0.027782142998556334,1.5607809380755124,1.2631691147222612
