date,price,hub
2025-10-01,10.807000160217283,NBP
2025-10-02,10.774999618530272,NBP
2025-10-03,10.855999946594238,NBP
2025-10-06,11.482999801635742,NBP
2025-10-07,11.493000030517578,NBP
2025-10-08,11.22700023651123,NBP
2025-10-09,11.062999725341797,NBP
2025-10-10,10.942999839782717,NBP
2025-10-13,10.69200038909912,NBP
2025-10-14,10.809000015258787,NBP
2025-10-15,10.821000099182127,NBP
2025-10-16,11.06700038909912,NBP
2025-10-17,10.807000160217283,NBP
2025-10-20,10.77400016784668,NBP
2025-10-21,10.86400032043457,NBP
2025-10-22,10.623000144958496,NBP
2025-10-23,10.892000198364258,NBP
2025-10-24,10.708000183105469,NBP
2025-10-27,10.496999740600586,NBP
2025-10-28,10.571000099182127,NBP
2025-10-29,10.659000396728516,NBP
2025-10-30,10.722999572753906,NBP
2025-10-31,10.614999771118164,NBP
2025-11-03,10.814000129699709,NBP
2025-11-04,11.095000267028809,NBP
2025-11-05,10.824999809265137,NBP
2025-11-06,10.755000114440918,NBP
2025-11-07,10.67300033569336,NBP
2025-11-10,10.621999740600586,NBP
2025-11-11,10.680999755859377,NBP
2025-11-12,10.67099952697754,NBP
2025-11-13,10.562000274658203,NBP
2025-11-14,10.840999603271484,NBP
2025-11-17,10.85200023651123,NBP
2025-11-18,10.975000381469728,NBP
2025-11-19,10.631999969482422,NBP
2025-11-20,10.67300033569336,NBP
2025-11-21,10.279000282287598,NBP
2025-11-24,10.154999732971191,NBP
2025-11-25,10.105999946594238,NBP
2025-11-26,10.23900032043457,NBP
2025-11-28,9.97700023651123,NBP
2025-12-01,9.782999992370604,NBP
2025-12-02,9.682000160217283,NBP
2025-12-03,9.777999877929688,NBP
2025-12-04,9.36400032043457,NBP
2025-12-05,9.465999603271484,NBP
2025-12-08,9.387999534606934,NBP
2025-12-09,9.61299991607666,NBP
2025-12-10,9.284000396728516,NBP
2025-12-11,9.465999603271484,NBP
2025-12-12,9.781000137329102,NBP
2025-12-15,9.765999794006348,NBP
2025-12-16,9.486000061035156,NBP
2025-12-17,9.706000328063965,NBP
2025-12-18,9.791000366210938,NBP
2025-12-19,10.005999565124512,NBP
2025-12-22,9.845999717712402,NBP
2025-12-23,9.859000205993652,NBP
2025-12-24,9.991999626159668,NBP
2025-12-26,9.991999626159668,NBP
2025-12-29,10.234999656677246,NBP
2025-12-30,9.708000183105469,NBP
2025-12-31,9.927000045776367,NBP
2026-01-02,10.223999977111816,NBP
2026-01-05,9.5649995803833,NBP
2026-01-06,9.821999549865724,NBP
2026-01-07,10.04300022125244,NBP
2026-01-08,9.605999946594238,NBP
2026-01-09,9.8149995803833,NBP
2026-01-12,10.585000038146973,NBP
2026-01-13,11.005999565124512,NBP
2026-01-14,11.177000045776367,NBP
2026-01-15,11.611000061035156,NBP
2026-01-16,12.944000244140623,NBP
2026-01-20,12.642999649047852,NBP
2026-01-21,13.92099952697754,NBP
2026-01-22,13.579999923706056,NBP
2026-01-23,14.196999549865724,NBP
2026-01-26,13.932000160217283,NBP
2026-01-27,13.880999565124512,NBP
2026-01-28,13.847000122070312,NBP
2026-01-29,12.949999809265137,NBP
2026-01-30,12.949999809265137,NBP
2026-02-02,11.086999893188477,NBP
2026-02-03,10.758999824523926,NBP
2026-02-04,10.892000198364258,NBP
2026-02-05,10.975000381469728,NBP
2026-02-06,11.592000007629396,NBP
2026-02-09,10.802000045776367,NBP
2026-02-10,10.178999900817873,NBP
2026-02-11,10.241999626159668,NBP
2026-02-12,10.545000076293944,NBP
2026-02-13,10.378000259399414,NBP
2026-02-17,9.605999946594238,NBP
2026-02-18,10.350000381469728,NBP
2026-02-19,11.041999816894531,NBP
2026-02-20,10.480999946594238,NBP
2026-02-23,10.397000312805176,NBP
2026-02-24,10.0649995803833,NBP
2026-02-25,10.13700008392334,NBP
2020-11-02,13.654999732971191,TTF
2020-11-03,13.664999961853027,TTF
2020-11-04,13.885000228881836,TTF
2020-11-05,14.454999923706056,TTF
2020-11-06,13.899999618530272,TTF
2020-11-09,13.854999542236328,TTF
2020-11-10,14.03499984741211,TTF
2020-11-11,14.095000267028809,TTF
2020-11-12,14.0,TTF
2020-11-13,14.239999771118164,TTF
2020-11-16,14.494999885559082,TTF
2020-11-17,13.970000267028809,TTF
2020-11-18,13.68000030517578,TTF
2020-11-19,13.020000457763672,TTF
2020-11-20,12.895000457763672,TTF
2020-11-23,13.53499984741211,TTF
2020-11-24,13.899999618530272,TTF
2020-11-25,13.93000030517578,TTF
2020-11-27,14.484999656677246,TTF
2020-11-30,15.140000343322754,TTF
2020-12-01,14.90999984741211,TTF
2020-12-02,14.904999732971191,TTF
2020-12-03,14.145000457763672,TTF
2020-12-04,14.645000457763672,TTF
2020-12-07,14.354999542236328,TTF
2020-12-08,14.44499969482422,TTF
2020-12-09,14.734999656677246,TTF
2020-12-10,15.539999961853027,TTF
2020-12-11,15.960000038146973,TTF
2020-12-14,16.604999542236328,TTF
2020-12-15,17.225000381469727,TTF
2020-12-16,16.3799991607666,TTF
2020-12-17,15.9399995803833,TTF
2020-12-18,15.885000228881836,TTF
2020-12-21,16.795000076293945,TTF
2020-12-22,17.635000228881836,TTF
2020-12-23,17.5049991607666,TTF
2020-12-24,17.649999618530273,TTF
2020-12-28,19.149999618530273,TTF
2020-12-29,18.774999618530273,TTF
2020-12-30,19.0,TTF
2020-12-31,19.125,TTF
2021-01-04,19.844999313354492,TTF
2021-01-05,18.0049991607666,TTF
2021-01-06,17.565000534057617,TTF
2021-01-07,19.30500030517578,TTF
2021-01-08,20.1200008392334,TTF
2021-01-11,22.125,TTF
2021-01-12,26.155000686645508,TTF
2021-01-13,21.5,TTF
2021-01-14,21.334999084472656,TTF
2021-01-15,20.200000762939453,TTF
2021-01-19,20.325000762939453,TTF
